Node,Storage,Invest_storage,Powercap_kW,Energycap_kWh
1,1,1,290214.00222743,1.73467896803436e6
1,2,1,0.0,0.0
1,3,1,0.0,0.0
1,4,1,0.0,0.0
1,5,1,0.0,0.0
2,1,1,0.0,0.0
2,2,1,0.0,0.0
2,3,1,0.0,0.0
2,4,1,0.0,0.0
2,5,1,0.0,0.0
3,1,1,435000.9361842124,3.5552600058052037e6
3,2,1,0.0,0.0
3,3,1,0.0,0.0
3,4,1,0.0,0.0
3,5,1,0.0,0.0
4,1,1,888882.6147798247,1.2049035234391661e7
4,2,1,0.0,0.0
4,3,1,394949.45178829826,1.715961681017574e7
4,4,1,0.0,0.0
4,5,1,0.0,0.0
5,1,1,484972.829128625,5.966526587446427e6
5,2,1,0.0,0.0
5,3,1,157844.45919917175,6.86939086434795e6
5,4,1,0.0,0.0
5,5,1,0.0,0.0
